87,89,82,20,20
0,6,9,27,5,1,12,1,2,12,12,4,2,15,16,2,1,4,2,2
0,/,\,0,0,0,\,0,/,0,0,0,\,0,0,0,0,0,/,0,0,13
4,\,0,0,0,0,/,0,\,\,0,0,0,/,0,0,\,/,0,0,0,5
5,0,0,\,\,0,\,\,\,/,0,0,/,\,0,0,0,0,/,\,0,1
7,0,\,\,0,/,\,/,/,\,\,0,\,0,\,0,0,0,0,/,\,2
11,0,\,0,0,/,0,\,\,0,0,/,\,0,/,/,0,/,0,0,0,41
16,0,0,0,0,0,0,\,0,/,0,0,0,0,/,0,\,0,0,0,/,14
4,/,0,/,0,0,0,0,0,0,0,/,0,0,0,\,0,0,0,\,0,13
6,0,0,\,\,0,/,0,/,0,0,0,/,0,0,0,0,0,0,\,0,5
6,/,0,0,0,\,0,/,0,0,0,\,0,\,0,\,0,/,0,0,/,9
8,0,\,0,0,0,0,\,0,0,0,/,0,\,0,\,\,/,0,0,0,5
8,/,0,0,0,0,/,0,\,0,0,/,/,0,0,0,/,\,0,0,0,5
4,0,0,/,0,0,/,0,0,0,0,0,\,\,0,0,0,0,0,0,0,42
2,0,\,0,0,/,0,/,0,0,0,/,0,\,0,0,0,/,\,0,0,11
1,0,/,/,0,0,\,0,0,0,0,0,0,0,0,0,0,0,\,0,0,10
10,0,/,0,0,0,\,0,0,/,\,\,0,0,\,\,\,0,0,0,0,14
2,0,\,0,0,0,/,0,0,0,0,\,0,\,\,0,0,\,0,0,/,1
0,0,0,\,\,0,0,/,0,\,0,\,0,0,0,0,0,0,/,/,0,28
13,/,/,0,/,0,0,0,\,0,/,/,0,0,0,0,0,0,0,/,0,13
9,0,0,0,0,0,0,0,0,0,\,0,\,0,0,0,/,\,0,/,/,1
3,/,/,/,0,\,0,0,0,\,/,\,0,/,0,0,\,0,0,0,/,0
16,2,1,4,1,41,9,4,12,0,0,9,2,13,12,2,2,42,2,0
